,periodo,mes,dia,clase_atropello,clase_caida_ocupante,clase_choque,clase_choque_y_atropello,clase_incendio,clase_otro,clase_volcamiento,fecha,date
0,2014,01,01,13,7,35,0,0,18,1,2014-01-01,2014-01-01
1,2014,01,02,12,7,43,0,0,9,1,2014-01-02,2014-01-02
2,2014,01,03,7,5,67,0,0,13,1,2014-01-03,2014-01-03
3,2014,01,04,11,7,40,0,0,9,1,2014-01-04,2014-01-04
4,2014,01,05,6,5,43,0,0,10,3,2014-01-05,2014-01-05
5,2014,01,06,4,5,23,0,0,9,2,2014-01-06,2014-01-06
6,2014,01,07,10,10,64,0,0,14,2,2014-01-07,2014-01-07
7,2014,01,08,7,17,46,0,0,7,0,2014-01-08,2014-01-08
8,2014,01,09,14,9,57,0,0,3,3,2014-01-09,2014-01-09
9,2014,01,10,8,8,77,0,0,7,0,2014-01-10,2014-01-10
10,2014,01,11,9,18,55,0,0,13,2,2014-01-11,2014-01-11
11,2014,01,12,6,7,48,0,0,6,2,2014-01-12,2014-01-12
12,2014,01,13,15,10,67,0,0,14,3,2014-01-13,2014-01-13
13,2014,01,14,8,12,64,0,0,10,1,2014-01-14,2014-01-14
14,2014,01,15,22,6,77,0,0,10,2,2014-01-15,2014-01-15
15,2014,01,16,13,13,67,0,0,11,3,2014-01-16,2014-01-16
16,2014,01,17,13,6,84,0,0,10,0,2014-01-17,2014-01-17
17,2014,01,18,13,9,70,0,0,13,1,2014-01-18,2014-01-18
18,2014,01,19,6,6,42,0,0,9,1,2014-01-19,2014-01-19
19,2014,01,20,6,14,89,0,0,7,1,2014-01-20,2014-01-20
20,2014,01,21,12,8,70,0,0,13,2,2014-01-21,2014-01-21
21,2014,01,22,10,6,89,0,0,10,5,2014-01-22,2014-01-22
22,2014,01,23,17,5,66,0,1,12,0,2014-01-23,2014-01-23
23,2014,01,24,11,8,84,0,0,8,1,2014-01-24,2014-01-24
24,2014,01,25,8,5,65,0,0,19,0,2014-01-25,2014-01-25
25,2014,01,26,12,11,27,0,0,23,2,2014-01-26,2014-01-26
26,2014,01,27,18,6,98,0,0,14,5,2014-01-27,2014-01-27
27,2014,01,28,19,7,81,0,0,15,7,2014-01-28,2014-01-28
28,2014,01,29,5,9,71,0,0,6,2,2014-01-29,2014-01-29
29,2014,01,30,9,8,59,0,0,22,2,2014-01-30,2014-01-30
30,2014,01,31,18,10,102,0,0,14,0,2014-01-31,2014-01-31
31,2014,02,01,15,9,79,0,0,15,1,2014-02-01,2014-02-01
32,2014,02,02,12,8,33,0,0,9,3,2014-02-02,2014-02-02
33,2014,02,03,15,9,89,0,0,19,0,2014-02-03,2014-02-03
34,2014,02,04,14,8,73,0,0,13,0,2014-02-04,2014-02-04
35,2014,02,05,15,10,74,0,0,11,3,2014-02-05,2014-02-05
36,2014,02,06,15,12,85,0,0,22,5,2014-02-06,2014-02-06
37,2014,02,07,17,10,89,0,0,18,4,2014-02-07,2014-02-07
38,2014,02,08,8,5,70,0,0,6,4,2014-02-08,2014-02-08
39,2014,02,09,14,12,41,0,0,10,1,2014-02-09,2014-02-09
40,2014,02,10,12,18,104,0,0,20,2,2014-02-10,2014-02-10
